MYDATABASE
Comment So Luong Field: 4, So Luong Mau Tin: 156
Comment Ten Field Start Width DatType: I: SoNguyen, C: Char, F: So thuc, B: Bool, D: Ngay
4
SBD         1         11      I
Toan       12         13      F
Van        25         13      F
AnhVan     38         13      F
156         
1          8.00         5.00         8.00         
2          6.50         7.00         5.00         
3          7.50         6.50         4.00         
4          5.00         8.50         5.50         
5          6.50         6.00         6.00         
6          10.00        9.00         9.00         
7          7.00         10.00        6.50         
8          10.00        8.00         9.00         
9          10.00        8.50         10.00        
10         4.50         4.00         4.00         
11         8.00         10.00        7.00         
12         5.00         6.50         5.50         
13         9.00         6.00         8.00         
14         6.00         5.50         8.00         
15         8.00         6.50         7.50         
16         4.00         6.00         5.00         
17         5.00         6.50         4.00         
18         4.00         6.50         6.00         
19         4.00         6.00         6.00         
20         5.00         7.00         7.00         
21         10.00        8.00         9.00         
22         5.00         8.00         5.00         
23         8.00         6.00         7.00         
24         7.00         5.00         7.00         
25         5.00         6.00         6.00         
26         10.00        8.50         9.00         
27         8.00         6.00         9.00         
28         6.00         8.00         4.00         
29         6.00         5.00         6.00         
30         6.00         6.50         6.00         
31         7.00         5.50         5.00         
32         6.00         6.00         4.50         
33         6.50         6.50         6.00         
34         5.00         8.00         5.00         
35         10.00        8.00         9.00         
36         6.00         6.00         6.50         
37         7.00         5.00         5.50         
38         6.50         5.50         5.00         
39         8.00         6.00         8.00         
40         4.00         4.00         4.00         
41         5.00         7.00         7.00         
42         5.50         6.50         8.00         
43         9.00         7.00         10.00        
44         6.00         6.00         9.00         
45         8.00         5.00         7.00         
46         5.50         5.00         4.00         
47         9.50         8.00         10.00        
48         10.00        8.00         10.00        
49         6.00         7.00         5.50         
50         10.00        8.50         9.50         
51         8.00         6.00         9.00         
52         4.50         5.50         5.00         
53         9.00         8.50         10.00        
54         6.50         6.50         4.00         
55         7.50         4.50         6.00         
56         7.00         5.50         8.00         
57         9.00         6.00         6.50         
58         4.00         5.50         4.00         
59         10.00        8.50         9.00         
60         5.50         6.00         5.50         
61         5.00         5.00         6.00         
62         6.50         4.00         5.50         
63         10.00        6.00         7.00         
64         6.00         5.00         6.00         
65         4.00         6.00         4.50         
66         7.00         5.00         3.00         
67         10.00        9.00         10.00        
68         8.00         4.00         5.00         
69         9.00         8.00         8.00         
70         5.50         5.50         7.50         
71         5.00         9.00         7.00         
72         6.50         5.00         8.00         
73         6.00         7.50         8.00         
74         10.00        6.00         8.00         
75         8.50         6.50         6.00         
76         8.00         7.00         8.50         
77         8.00         7.50         9.00         
78         4.50         6.50         4.00         
79         10.00        9.00         10.00        
80         3.50         4.00         5.50         
81         6.00         6.50         4.50         
82         8.00         6.00         4.00         
83         5.00         8.50         5.00         
84         10.00        7.00         9.00         
85         7.00         7.00         10.00        
86         5.50         6.50         6.50         
87         8.00         4.50         8.00         
88         5.00         5.50         6.00         
89         4.50         6.00         5.00         
90         4.50         6.50         4.50         
91         6.00         5.00         6.50         
92         6.00         5.50         6.50         
93         4.00         5.00         4.00         
94         6.00         4.50         3.00         
95         5.00         5.50         6.00         
96         6.00         6.50         5.50         
97         8.00         6.00         7.00         
98         7.00         6.00         6.00         
99         8.00         7.00         7.00         
100        6.50         5.00         3.00         
101        7.00         7.00         8.50         
102        7.00         6.50         6.00         
103        6.50         4.00         4.00         
104        6.50         7.00         6.50         
105        4.00         6.50         3.50         
106        5.00         6.00         6.00         
107        5.40         5.70         4.90         
108        5.00         5.00         4.50         
109        7.00         7.00         8.00         
110        5.00         6.80         5.20         
111        8.00         7.00         8.00         
112        5.50         5.50         7.50         
113        6.00         3.00         5.00         
114        10.00        10.00        10.00        
115        5.50         7.00         5.50         
116        7.50         7.00         10.00        
117        10.00        9.00         9.50         
118        4.00         4.00         4.50         
119        4.50         5.50         6.50         
120        5.00         6.00         6.00         
121        10.00        8.50         9.00         
122        6.50         6.50         6.00         
123        4.00         7.50         5.50         
124        5.50         5.00         5.00         
125        9.00         7.00         8.00         
126        4.50         6.50         4.50         
127        5.50         4.00         5.50         
128        7.00         4.00         8.00         
129        8.00         5.00         5.50         
130        5.00         5.00         5.00         
131        4.00         4.00         5.50         
132        4.50         4.50         6.50         
133        9.00         8.00         7.50         
134        10.00        8.00         9.00         
135        10.00        8.50         9.00         
136        6.00         4.00         5.00         
137        5.00         6.00         5.50         
138        6.00         5.50         6.50         
139        6.50         9.00         6.50         
140        6.50         5.50         6.50         
141        9.00         7.00         8.00         
142        6.00         7.00         5.00         
143        3.50         5.50         6.00         
144        9.00         6.00         8.00         
145        3.00         5.00         4.00         
146        5.00         6.50         6.50         
147        10.00        8.00         10.00        
148        9.50         8.50         9.00         
149        9.00         8.50         10.00        
150        8.00         9.00         6.00         
151        5.00         5.00         6.00         
152        10.00        7.00         7.00         
153        7.50         6.00         8.00         
154        4.00         5.50         7.00         
155        7.00         5.50         3.50         
156        4.00         7.50         5.00         
