     SBD  Toan   Van  AnhVan
0      1   8.0   5.0     8.0
1      2   6.5   7.0     5.0
2      3   7.5   6.5     4.0
3      4   5.0   8.5     5.5
4      5   6.5   6.0     6.0
5      6  10.0   9.0     9.0
6      7   7.0  10.0     6.5
7      8  10.0   8.0     9.0
8      9  10.0   8.5    10.0
9     10   4.5   4.0     4.0
10    11   8.0  10.0     7.0
11    12   5.0   6.5     5.5
12    13   9.0   6.0     8.0
13    14   6.0   5.5     8.0
14    15   8.0   6.5     7.5
15    16   4.0   6.0     5.0
16    17   5.0   6.5     4.0
17    18   4.0   6.5     6.0
18    19   4.0   6.0     6.0
19    20   5.0   7.0     7.0
20    21  10.0   8.0     9.0
21    22   5.0   8.0     5.0
22    23   8.0   6.0     7.0
23    24   7.0   5.0     7.0
24    25   5.0   6.0     6.0
25    26  10.0   8.5     9.0
26    27   8.0   6.0     9.0
27    28   6.0   8.0     4.0
28    29   6.0   5.0     6.0
29    30   6.0   6.5     6.0
30    31   7.0   5.5     5.0
31    32   6.0   6.0     4.5
32    33   6.5   6.5     6.0
33    34   5.0   8.0     5.0
34    35  10.0   8.0     9.0
35    36   6.0   6.0     6.5
36    37   7.0   5.0     5.5
37    38   6.5   5.5     5.0
38    39   8.0   6.0     8.0
39    40   4.0   4.0     4.0
40    41   5.0   7.0     7.0
41    42   5.5   6.5     8.0
42    43   9.0   7.0    10.0
43    44   6.0   6.0     9.0
44    45   8.0   5.0     7.0
45    46   5.5   5.0     4.0
46    47   9.5   8.0    10.0
47    48  10.0   8.0    10.0
48    49   6.0   7.0     5.5
49    50  10.0   8.5     9.5
50    51   8.0   6.0     9.0
51    52   4.5   5.5     5.0
52    53   9.0   8.5    10.0
53    54   6.5   6.5     4.0
54    55   7.5   4.5     6.0
55    56   7.0   5.5     8.0
56    57   9.0   6.0     6.5
57    58   4.0   5.5     4.0
58    59  10.0   8.5     9.0
59    60   5.5   6.0     5.5
60    61   5.0   5.0     6.0
61    62   6.5   4.0     5.5
62    63  10.0   6.0     7.0
63    64   6.0   5.0     6.0
64    65   4.0   6.0     4.5
65    66   7.0   5.0     3.0
66    67  10.0   9.0    10.0
67    68   8.0   4.0     5.0
68    69   9.0   8.0     8.0
69    70   5.5   5.5     7.5
70    71   5.0   9.0     7.0
71    72   6.5   5.0     8.0
72    73   6.0   7.5     8.0
73    74  10.0   6.0     8.0
74    75   8.5   6.5     6.0
75    76   8.0   7.0     8.5
76    77   8.0   7.5     9.0
77    78   4.5   6.5     4.0
78    79  10.0   9.0    10.0
79    80   3.5   4.0     5.5
80    81   6.0   6.5     4.5
81    82   8.0   6.0     4.0
82    83   5.0   8.5     5.0
83    84  10.0   7.0     9.0
84    85   7.0   7.0    10.0
85    86   5.5   6.5     6.5
86    87   8.0   4.5     8.0
87    88   5.0   5.5     6.0
88    89   4.5   6.0     5.0
89    90   4.5   6.5     4.5
90    91   6.0   5.0     6.5
91    92   6.0   5.5     6.5
92    93   4.0   5.0     4.0
93    94   6.0   4.5     3.0
94    95   5.0   5.5     6.0
95    96   6.0   6.5     5.5
96    97   8.0   6.0     7.0
97    98   7.0   6.0     6.0
98    99   8.0   7.0     7.0
99   100   6.5   5.0     3.0
100  101   7.0   7.0     8.5
101  102   7.0   6.5     6.0
102  103   6.5   4.0     4.0
103  104   6.5   7.0     6.5
104  105   4.0   6.5     3.5
105  106   5.0   6.0     6.0
106  107   5.4   5.7     4.9
107  108   5.0   5.0     4.5
108  109   7.0   7.0     8.0
109  110   5.0   6.8     5.2
110  111   8.0   7.0     8.0
111  112   5.5   5.5     7.5
112  113   6.0   3.0     5.0
113  114  10.0  10.0    10.0
114  115   5.5   7.0     5.5
115  116   7.5   7.0    10.0
116  117  10.0   9.0     9.5
117  118   4.0   4.0     4.5
118  119   4.5   5.5     6.5
119  120   5.0   6.0     6.0
120  121  10.0   8.5     9.0
121  122   6.5   6.5     6.0
122  123   4.0   7.5     5.5
123  124   5.5   5.0     5.0
124  125   9.0   7.0     8.0
125  126   4.5   6.5     4.5
126  127   5.5   4.0     5.5
127  128   7.0   4.0     8.0
128  129   8.0   5.0     5.5
129  130   5.0   5.0     5.0
130  131   4.0   4.0     5.5
131  132   4.5   4.5     6.5
132  133   9.0   8.0     7.5
133  134  10.0   8.0     9.0
134  135  10.0   8.5     9.0
135  136   6.0   4.0     5.0
136  137   5.0   6.0     5.5
137  138   6.0   5.5     6.5
138  139   6.5   9.0     6.5
139  140   6.5   5.5     6.5
140  141   9.0   7.0     8.0
141  142   6.0   7.0     5.0
142  143   3.5   5.5     6.0
143  144   9.0   6.0     8.0
144  145   3.0   5.0     4.0
145  146   5.0   6.5     6.5
146  147  10.0   8.0    10.0
147  148   9.5   8.5     9.0
148  149   9.0   8.5    10.0
149  150   8.0   9.0     6.0
150  151   5.0   5.0     6.0
151  152  10.0   7.0     7.0
152  153   7.5   6.0     8.0
153  154   4.0   5.5     7.0
154  155   7.0   5.5     3.5
155  156   4.0   7.5     5.0
