     SBD  Toan   Van  AnhVan
0      1   8.0   5.0     8.0
1      2   6.5   7.0     5.0
2      4   5.0   8.5     5.5
3      5   6.5   6.0     6.0
4      6  10.0   9.0     9.0
5      7   7.0  10.0     6.5
6      8  10.0   8.0     9.0
7      9  10.0   8.5    10.0
8     10   4.5   4.0     4.0
9     11   8.0  10.0     7.0
10    12   5.0   6.5     5.5
11    13   9.0   6.0     8.0
12    14   6.0   5.5     8.0
13    15   8.0   6.5     7.5
14    16   4.0   6.0     5.0
15    17   5.0   6.5     4.0
16    18   4.0   6.5     6.0
17    19   4.0   6.0     6.0
18    20   5.0   7.0     7.0
19    21  10.0   8.0     9.0
20    22   5.0   8.0     5.0
21    23   8.0   6.0     7.0
22    24   7.0   5.0     7.0
23    25   5.0   6.0     6.0
24    26  10.0   8.5     9.0
25    27   8.0   6.0     9.0
26    28   6.0   8.0     4.0
27    29   6.0   5.0     6.0
28    30   6.0   6.5     6.0
29    31   7.0   5.5     5.0
30    32   6.0   6.0     4.5
31    33   6.5   6.5     6.0
32    34   5.0   8.0     5.0
33    35  10.0   8.0     9.0
34    36   6.0   6.0     6.5
35    37   7.0   5.0     5.5
36    38   6.5   5.5     5.0
37    39   8.0   6.0     8.0
38    40   4.0   4.0     4.0
39    41   5.0   7.0     7.0
40    42   5.5   6.5     8.0
41    43   9.0   7.0    10.0
42    44   6.0   6.0     9.0
43    45   8.0   5.0     7.0
44    46   5.5   5.0     4.0
45    47   9.5   8.0    10.0
46    48  10.0   8.0    10.0
47    49   6.0   7.0     5.5
48    50  10.0   8.5     9.5
49    51   8.0   6.0     9.0
50    52   4.5   5.5     5.0
51    53   9.0   8.5    10.0
52    54   6.5   6.5     4.0
53    55   7.5   4.5     6.0
54    56   7.0   5.5     8.0
55    57   9.0   6.0     6.5
56    58   4.0   5.5     4.0
57    59  10.0   8.5     9.0
58    60   5.5   6.0     5.5
59    61   5.0   5.0     6.0
60    62   6.5   4.0     5.5
61    63  10.0   6.0     7.0
62    64   6.0   5.0     6.0
63    65   4.0   6.0     4.5
64    66   7.0   5.0     3.0
65    67  10.0   9.0    10.0
66    68   8.0   4.0     5.0
67    69   9.0   8.0     8.0
68    70   5.5   5.5     7.5
69    71   5.0   9.0     7.0
70    72   6.5   5.0     8.0
71    73   6.0   7.5     8.0
72    74  10.0   6.0     8.0
73    75   8.5   6.5     6.0
74    76   8.0   7.0     8.5
75    77   8.0   7.5     9.0
76    78   4.5   6.5     4.0
77    79  10.0   9.0    10.0
78    80   3.5   4.0     5.5
79    81   6.0   6.5     4.5
80    82   8.0   6.0     4.0
81    83   5.0   8.5     5.0
82    84  10.0   7.0     9.0
83    85   7.0   7.0    10.0
84    86   5.5   6.5     6.5
85    87   8.0   4.5     8.0
86    88   5.0   5.5     6.0
87    89   4.5   6.0     5.0
88    90   4.5   6.5     4.5
89    91   6.0   5.0     6.5
90    92   6.0   5.5     6.5
91    93   4.0   5.0     4.0
92    94   6.0   4.5     3.0
93    95   5.0   5.5     6.0
94    96   6.0   6.5     5.5
95    97   8.0   6.0     7.0
96    98   7.0   6.0     6.0
97    99   8.0   7.0     7.0
98   100   6.5   5.0     3.0
99   101   7.0   7.0     8.5
100  102   7.0   6.5     6.0
101  103   6.5   4.0     4.0
102  104   6.5   7.0     6.5
103  105   4.0   6.5     3.5
104  106   5.0   6.0     6.0
105  107   5.4   5.7     4.9
106  108   5.0   5.0     4.5
107  109   7.0   7.0     8.0
108  110   5.0   6.8     5.2
109  111   8.0   7.0     8.0
110  112   5.5   5.5     7.5
111  113   6.0   3.0     5.0
112  114  10.0  10.0    10.0
113  115   5.5   7.0     5.5
114  116   7.5   7.0    10.0
115  117  10.0   9.0     9.5
116  118   4.0   4.0     4.5
117  119   4.5   5.5     6.5
118  120   5.0   6.0     6.0
119  121  10.0   8.5     9.0
120  122   6.5   6.5     6.0
121  123   4.0   7.5     5.5
122  124   5.5   5.0     5.0
123  125   9.0   7.0     8.0
124  126   4.5   6.5     4.5
125  127   5.5   4.0     5.5
126  128   7.0   4.0     8.0
127  129   8.0   5.0     5.5
128  130   5.0   5.0     5.0
129  131   4.0   4.0     5.5
130  132   4.5   4.5     6.5
131  133   9.0   8.0     7.5
132  134  10.0   8.0     9.0
133  135  10.0   8.5     9.0
134  136   6.0   4.0     5.0
135  137   5.0   6.0     5.5
136  138   6.0   5.5     6.5
137  139   6.5   9.0     6.5
138  140   6.5   5.5     6.5
139  141   9.0   7.0     8.0
140  142   6.0   7.0     5.0
141  143   3.5   5.5     6.0
142  144   9.0   6.0     8.0
143  145   3.0   5.0     4.0
144  146   5.0   6.5     6.5
145  147  10.0   8.0    10.0
146  148   9.5   8.5     9.0
147  149   9.0   8.5    10.0
148  150   8.0   9.0     6.0
149  151   5.0   5.0     6.0
150  152  10.0   7.0     7.0
151  153   7.5   6.0     8.0
152  154   4.0   5.5     7.0
153  155   7.0   5.5     3.5
154  156   4.0   7.5     5.0
